
[1.9199999570846558,0.9990000128746033]
t: 0.8333000000000002    stepPoint:[1599.9360000000001,138.9111099999999]
t: 0.8499000000000001    stepPoint:[1631.8080000000002,127.56998999999993]
t: 0.8666000000000001    stepPoint:[1663.8720000000003,115.6044399999999]
t: 0.8833000000000002    stepPoint:[1695.9360000000004,103.08110999999985]
t: 0.8999000000000001    stepPoint:[1727.8080000000002,90.07998999999988]
t: 0.9166000000000002    stepPoint:[1759.8720000000005,76.44443999999983]
t: 0.9333000000000002    stepPoint:[1791.9360000000004,62.25110999999979]
t: 0.9500000000000003    stepPoint:[1824.0000000000007,47.49999999999974]
t: 0.9667000000000003    stepPoint:[1856.0640000000008,32.19110999999968]
t: 0.9833000000000003    stepPoint:[1887.9360000000006,16.421109999999725]
t: 0.9999000000000002    stepPoint:[1919.8080000000004,0.09998999999976699]
start: [0,0]    controlPoint: [960,500]     targetPoint[1920,0]
t: 0.0167    stepPoint:[32.064,16.42111]
t: 0.033299999999999996    stepPoint:[63.93599999999999,32.191109999999995]
t: 0.049999999999999996    stepPoint:[95.99999999999999,47.49999999999999]
